iter	Passed	Remaining
0	1	133
1	2	115
2	3	118
3	4	108
4	5	104
5	6	103
6	7	101
7	8	99
8	9	98
9	10	96
10	11	94
11	12	93
12	13	91
13	14	90
14	15	89
15	16	88
16	17	86
17	19	86
18	20	85
19	21	84
20	22	82
21	23	81
22	24	80
23	25	79
24	26	78
25	27	77
26	28	75
27	29	75
28	30	75
29	31	74
30	33	73
31	34	73
32	35	72
33	36	71
34	37	70
35	38	69
36	39	67
37	40	66
38	41	65
39	42	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	46
56	59	45
57	60	43
58	61	42
59	62	41
60	64	40
61	65	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	103	1
99	104	0
